Entry	Entry Name	Gene Names	Protein names	Length
A0A023PZC7	YE152_YEAST	YER152W-A	Putative uncharacterized protein YER152W-A	188
A0A023PZD0	YF036_YEAST	YFR036W-A	Putative uncharacterized protein YFR036W-A	216
A0A023PZD5	YH030_YEAST	YHL030W-A	Putative uncharacterized protein YHL030W-A	153
A0A023PZE1	YH063_YEAST	YHR063W-A	Putative uncharacterized membrane protein YHR063W-A	111
A0A023PZE2	YA047_YEAST	YAL047W-A	Putative uncharacterized membrane protein YAL047W-A	109
A0A023PZE4	YH165_YEAST	YHR165W-A	Putative uncharacterized protein YHR165W-A	103
A0A023PZE6	YD048_YEAST	YDR048C	Putative uncharacterized membrane protein YDR048C	104
A0A023PZE8	YD57W_YEAST	YDR157W	Uncharacterized protein YDR157W	133
A0A023PZE9	YI029_YEAST	YIL029W-A	Putative uncharacterized protein YIL029W-A	123
A0A023PZF2	YE009_YEAST	YEL009C-A	Uncharacterized protein YEL009C-A	135
A0A023PZF3	YI070_YEAST	YIL071W-A	Putative uncharacterized protein YIL071W-A	158
A0A023PZF5	YE046_YEAST	YER046W-A	Putative uncharacterized protein YER046W-A	109
A0A023PZF9	YI023_YEAST	YIR023C-A	Putative uncharacterized membrane protein YIR023C-A	107
A0A023PZG0	YE084_YEAST	YER084W-A	Putative uncharacterized membrane protein YER084W-A	170
A0A023PZG4	YL236_YEAST	YLR236C	Uncharacterized protein YLR236C	107
A0A023PZG5	YE137_YEAST	YER137W-A	Putative uncharacterized protein YER137W-A	101
A0A023PZG9	YM047_YEAST	YML047W-A	Putative uncharacterized membrane protein YML047W-A	121
A0A023PZH1	YE165_YEAST	YER165C-A	Putative uncharacterized membrane protein YER165C-A	118
A0A023PZH4	YF052_YEAST	YFR052C-A	Putative uncharacterized protein YFR052C-A	101
A0A023PZH5	YM290_YEAST	YMR290W-A	Putative uncharacterized membrane protein YMR290W-A	115
A0A023PZH9	YH034_YEAST	YHL034W-A	Putative uncharacterized protein YHL034W-A	153
A0A023PZI4	YH069_YEAST	YHR069C-A	Putative uncharacterized membrane protein YHR069C-A	120
A0A023PZI9	YH182_YEAST	YHR182C-A	Putative uncharacterized protein YHR182C-A	157
A0A023PZJ3	YI030_YEAST	YIL030W-A	Putative uncharacterized membrane protein YIL030W-A	112
A0A023PZJ9	YI115_YEAST	YIL115W-A	Putative uncharacterized protein YIL115W-A	123
A0A023PZK4	YI30A_YEAST	YIR030W-A	Putative uncharacterized protein YIR030W-A	127
A0A023PZK9	YL458_YEAST	YLR458W	Putative uncharacterized membrane protein YLR458W	126
A0A023PZL2	YM119_YEAST	YMR119W-A	Putative uncharacterized membrane protein YMR119W-A	124
A0A023PZM3	YP050_YEAST	YPR050C YP9499.07b	Putative uncharacterized membrane protein YPR050C	137
A0A0B7P221	RDT1_YEAST	RDT1 YCL054W-A	Uncharacterized protein RDT1 (Ribosomally detected transcript 1)	28
A0A8D9PCQ4	YM008_YEAST	YMR008C-A	Uncharacterized protein YMR008C-A	155
A0A8D9PH56	OTO1_YEAST	OTO1 YGR227C-A sORF2	Uncharacterized protein OTO1 (ORFan toxic when overexpressed protein 1)	57
A0A8D9UGQ7	YL79A_YEAST	YLR379W-A	Uncharacterized protein YLR379W-A	90
A0A8D9UGU6	YK14A_YEAST	YKL104W-A	Uncharacterized protein YKL104W-A	84
I2HB52	YB56A_YEAST	YBR056W-A	Uncharacterized protein YBR056W-A	66
I2HB70	YM16A_YEAST	YMR316C-A	Uncharacterized protein YMR316C-A	103
O13513	YA056_YEAST	YAL056C-A YAL058C-A	Putative uncharacterized protein YAL056C-A	116
O13514	YA042_YEAST	YAL042C-A YAL043C-A	Putative uncharacterized protein YAL042C-A	125
O13515	YA034_YEAST	YAL034C-B YAL035C-A	Putative uncharacterized protein YAL034C-B	117
O13517	YP102_YEAST	YPL102C	Putative uncharacterized protein YPL102C	100
O13518	YPL14_YEAST	YPL114W	Putative uncharacterized protein YPL114W	139
O13519	YP136_YEAST	YPL136W	Putative uncharacterized protein YPL136W	122
O13520	YP044_YEAST	YPL044C	Putative uncharacterized protein YPL044C	182
O13521	YP035_YEAST	YPL035C	Putative uncharacterized protein YPL035C	115
O13522	YD396_YEAST	YDR396W	Putative uncharacterized protein YDR396W	166
O13523	YD401_YEAST	YDR401W	Putative uncharacterized protein YDR401W	187
O13530	YL198_YEAST	YLR198C	Putative uncharacterized protein YLR198C	119
O13531	YL202_YEAST	YLR202C	Putative uncharacterized protein YLR202C	108
O13532	YL217_YEAST	YLR217W L8167.25	Putative uncharacterized protein YLR217W	107
O13533	YH049_YEAST	YHR049C-A	Putative uncharacterized protein YHR049C-A	98
O13534	YH1A_YEAST	YHR214W-A	Putative uncharacterized protein YHR214W-A	161
O13536	YH139_YEAST	YHR139C-A	Uncharacterized protein YHR139C-A	103
O13537	YH145_YEAST	YHR145C	Putative uncharacterized protein YHR145C	118
O13540	YL279_YEAST	YLR279W L8003.10A	Putative uncharacterized protein YLR279W	129
O13541	YL280_YEAST	YLR280C	Putative uncharacterized protein YLR280C	116
O13542	YL282_YEAST	YLR282C L8003.11A	Putative uncharacterized protein YLR282C	113
O13544	YL302_YEAST	YLR302C	Uncharacterized protein YLR302C	120
O13545	YL374_YEAST	YLR374C	Putative uncharacterized protein YLR374C	129
O13546	YL232_YEAST	YLR232W	Putative uncharacterized protein YLR232W	115
O13553	YL317_YEAST	YLR317W	Putative uncharacterized protein YLR317W	144
O13555	JIP3_YEAST	JIP3 YLR331C	Uncharacterized protein JIP3	125
O13556	YL462_YEAST	YLR462W	Putative uncharacterized protein YLR462W	202
O13557	YL463_YEAST	YLR463C JND183 L9001	Putative uncharacterized protein YLR463C	183
O13558	BSC3_YEAST	BSC3 YLR465C	Putative uncharacterized protein BSC3	102
O13560	YL444_YEAST	YLR444C	Putative uncharacterized protein YLR444C	100
O13561	YL169_YEAST	YLR169W	Putative uncharacterized protein YLR169W	117
O13562	YL171_YEAST	YLR171W	Putative uncharacterized protein YLR171W	129
O13564	YL428_YEAST	YLR428C	Putative uncharacterized protein YLR428C	114
O13565	YL358_YEAST	YLR358C	Uncharacterized protein YLR358C	187
O13566	YP123_YEAST	YPR123C P9642.4B	Putative uncharacterized protein YPR123C	144
O13567	YP126_YEAST	YPR126C P9642.2B	Putative uncharacterized protein YPR126C	102
O13568	YP130_YEAST	YPR130C P9659.10A	Putative uncharacterized protein YPR130C	135
O13569	YPR36_YEAST	YPR136C P9659.7B	Putative uncharacterized protein YPR136C	170
O13570	YPR42_YEAST	YPR142C P9659.16B	Putative uncharacterized protein YPR142C	187
O13571	YPR46_YEAST	YPR146C P9659.3A	Putative uncharacterized protein YPR146C	109
O13572	YPR50_YEAST	YPR150W P9659.2A	Putative uncharacterized protein YPR150W	173
O13573	YL252_YEAST	YLR252W	Putative uncharacterized protein YLR252W	101
O13574	YL255_YEAST	YLR255C	Uncharacterized protein YLR255C	117
O13575	YP177_YEAST	YPR177C P9705.12A	Putative uncharacterized protein YPR177C	123
O13576	YL434_YEAST	YLR434C	Putative uncharacterized protein YLR434C	127
O13578	YL415_YEAST	YLR415C	Putative uncharacterized protein YLR415C, mitochondrial	112
O13579	YL379_YEAST	YLR379W	Putative uncharacterized protein YLR379W	124
O13582	YP076_YEAST	YPR076W P9513.9A	Putative uncharacterized protein YPR076W	124
O13583	YPR77_YEAST	YPR077C P9513.9B	Putative uncharacterized protein YPR077C	123
O13586	YP092_YEAST	YPR092W P9513.15A	Putative uncharacterized protein YPR092W	101
O13588	YA069_YEAST	YAL069W	Putative uncharacterized protein YAL069W	104
O42831	YA075_YEAST	YAR075W	Putative inosine-5'-monophosphate dehydrogenase-like protein YAR075W	157
O94085	YL339_YEAST	YLR339C	Putative uncharacterized protein YLR339C	183
O94086	YL349_YEAST	YLR349W	Putative uncharacterized protein YLR349W	168
P0C0V2	YE18A_YEAST	YER188C-A	UPF0320 protein YER188C-A	99
P0C1V3	YA016_YEAST	YAL016C-B	Putative uncharacterized protein YAL016C-B	61
P0C1Z1	YD24C_YEAST	YDR524W-C YDR524W-A	Uncharacterized protein YDR524W-C	29
P0C268	YB39B_YEAST	YBL039W-B	Uncharacterized protein YBL039W-B	59
P0C269	YB00C_YEAST	YBL100W-C YBL101W-C	Uncharacterized protein YBL100W-C	39
P0C270	YE38A_YEAST	YER138W-A	Putative uncharacterized protein YER138W-A	34
P0C272	YO13A_YEAST	YOL013W-A	Uncharacterized protein YOL013W-A	63
P0C5E0	YD193_YEAST	YDR193W	Putative uncharacterized protein YDR193W	132
P0C5E1	YP059_YEAST	YPR059C	Putative uncharacterized protein YPR059C	128
P0C5K9	YB39A_YEAST	YBL039C-A	Uncharacterized protein YBL039C-A	27
P0C5L0	YB056_YEAST	YBR056C-B	Putative uncharacterized protein YBR056C-B	52
P0C5L1	YB068_YEAST	YBL068W-A smORF19 SR12	Putative uncharacterized protein YBL068W-A	78
P0C5L2	YB076_YEAST	YBR076C-A smORF46	Putative uncharacterized protein YBR076C-A	88
P0C5L3	YB103_YEAST	YBR103C-A	Putative uncharacterized protein YBR103C-A	47
P0C5L4	YB121_YEAST	YBR121C-A	Uncharacterized protein YBR121C-A	52
P0C5L5	YB191_YEAST	YBR191W-A	Putative uncharacterized protein YBR191W-A	24
P0C5L6	YD022_YEAST	YDL022C-A smORF101 SR3	Uncharacterized protein YDL022C-A	82
P0C5L7	YD18A_YEAST	YDR118W-A	Uncharacterized protein YDR118W-A	38
P0C5L8	YD240_YEAST	YDL240C-A	Putative uncharacterized protein YDL240C-A	45
P0C5L9	YD247_YEAST	YDL247W-A	Putative uncharacterized protein YDL247W-A	24
P0C5M0	YD320_YEAST	YDR320W-B	Uncharacterized protein YDR320W-B	45
P0C5M1	YD371_YEAST	YDR371C-A	Uncharacterized protein YDR371C-A	34
P0C5M2	YD406_YEAST	YDR406W-A smORF144	Putative uncharacterized protein YDR406W-A	81
P0C5M3	YD83A_YEAST	YDR183C-A smORF122	Putative uncharacterized protein YDR183C-A	85
P0C5M4	YD85A_YEAST	YDL185C-A	Putative uncharacterized protein YDL185C-A	75
P0C5M5	YDL14_YEAST	YDL114W-A	Putative uncharacterized protein YDL114W-A	37
P0C5M6	YE020_YEAST	YEL020C-B smORF171	Putative uncharacterized protein YEL020C-B	65
P0C5M7	YE050_YEAST	YEL050W-A smORF167	Putative uncharacterized protein YEL050W-A	63
P0C5M8	YE090_YEAST	YER090C-A	Uncharacterized protein YER090C-A	29
P0C5M9	YF009_YEAST	YFR009W-A	Uncharacterized protein YFR009W-A	85
P0C5N0	YF010_YEAST	YFR010W-A	Uncharacterized protein YFR010W-A	62
P0C5N1	YG014_YEAST	YGL014C-A	Uncharacterized protein YGL014C-A	53
P0C5N2	YG122_YEAST	YGR122C-A	Putative uncharacterized protein YGR122C-A	42
P0C5N3	YG41A_YEAST	YGL041W-A	Uncharacterized protein YGL041W-A, mitochondrial	154
P0C5N4	YH73B_YEAST	YHR073C-B	Uncharacterized protein YHR073C-B	26
P0C5N5	YH180_YEAST	YHR180C-B smORF286	Putative uncharacterized protein YHR180C-B	34
P0C5N6	YH32A_YEAST	YHR032W-A	Uncharacterized protein YHR032W-A	59
P0C5N7	YH73A_YEAST	YHR073W-A	Uncharacterized protein YHR073W-A	58
P0C5N8	YH80A_YEAST	YHR180W-A smORF288	Putative uncharacterized protein YHR180W-A	60
P0C5N9	YJ156_YEAST	YJL156W-A	Putative uncharacterized protein YJL156W-A	73
P0C5P0	YJ197_YEAST	YJL197C-A	Uncharacterized protein YJL197C-A	93
P0C5P1	YJ27A_YEAST	YJL127W-A YJL127W-B	Putative uncharacterized protein YJL127W-A	38
P0C5P2	YK100_YEAST	YKL100W-A	Uncharacterized protein YKL100W-A	29
P0C5P3	YK145_YEAST	YKL145W-A	Uncharacterized protein YKL145W-A	30
P0C5P4	YK162_YEAST	YKL162C-A	Putative uncharacterized protein YKL162C-A	50
P0C5P5	YK165_YEAST	YKL165C-A	Putative uncharacterized YKL165C-A	77
P0C5P6	YL163_YEAST	YLR163W-A	Uncharacterized protein YLR163W-A	37
P0C5P7	YL222_YEAST	YLR222C-A smORF499	Putative uncharacterized protein YLR222C-A	76
P0C5P8	YL49A_YEAST	YLR149C-A	Putative uncharacterized protein YLR149C-A	28
P0C5P9	YL54B_YEAST	YLR154W-B smORF398	Putative uncharacterized protein YLR154W-B	54
P0C5Q0	YL54F_YEAST	YLR154W-F	Putative uncharacterized protein YLR154W-F	46
P0C5Q1	YL64A_YEAST	YLR364C-A	Uncharacterized protein YLR364C-A	40
P0C5Q2	YM013_YEAST	YMR013W-A	Putative uncharacterized protein YMR013W-A	26
P0C5Q3	YM13C_YEAST	YMR013C-A	Uncharacterized protein YMR013C-A	49
P0C5Q4	YM141_YEAST	YMR141W-A smORF532	Putative uncharacterized protein YMR141W-A	74
P0C5Q5	YM307_YEAST	YMR307C-A smORF544	Putative uncharacterized protein YMR307C-A	64
P0C5Q6	YM94A_YEAST	YMR194C-A	Putative uncharacterized protein YMR194C-A	74
P0C5Q7	YN001_YEAST	YNR001W-A	Putative uncharacterized protein YNR001W-A	72
P0C5Q8	YN67A_YEAST	YNL067W-A YNL067W-B	Putative uncharacterized protein YNL067W-A	48
P0C5Q9	YO08B_YEAST	YOR008W-B	Putative uncharacterized protein YOR008W-B	33
P0C5R0	YO14A_YEAST	YOR314W-A	Putative uncharacterized protein YOR314W-A	36
P0C5R1	YO329_YEAST	YOR329W-A smORF626	Putative uncharacterized protein YOR329W-A	69
P0C5R2	YO72A_YEAST	YOR072W-A smORF598	Putative uncharacterized protein YOR072W-A	82
P0C5R3	YO73A_YEAST	YOR073W-A smORF601	Putative uncharacterized protein YOR073W-A	77
P0C5R4	YO83A_YEAST	YOL083C-A	Uncharacterized protein YOL083C-A	46
P0C5R5	YP016_YEAST	YPR016W-A	Putative uncharacterized protein YPR016W-A	86
P0C5R6	YP074_YEAST	YPR074W-A	Putative uncharacterized protein YPR074W-A	56
P0C5R7	YP169_YEAST	YPR169W-A smORF672	Putative uncharacterized protein YPR169W-A	72
P0C5R8	YP17A_YEAST	YPR170W-A	Putative uncharacterized protein YPR170W-A	61
P0C5S0	YP250_YEAST	YPL250W-A smORF640	Putative uncharacterized protein YPL250W-A	95
P0C5S1	YP60A_YEAST	YPR160W-A	Uncharacterized protein YPR160W-A	26
P0CE96	YL156_YEAST	YLR156W L9632.3	Putative uncharacterized protein YLR156W	114
P0CE97	YL59W_YEAST	YLR159W L9632.4	Putative uncharacterized protein YLR159W	114
P0CE98	YL161_YEAST	YLR161W L9632.5	Putative uncharacterized protein YLR161W	114
P0CE99	YL57D_YEAST	YLR157W-D	Putative uncharacterized protein YLR157W-D	70
P0CF00	YL57E_YEAST	YLR157W-E	Putative uncharacterized protein YLR157W-E	54
P0CF16	U5071_YEAST	YML003W YM9571.16	UPF0507 protein YML003W	290
P0CF17	U5072_YEAST	YML002W YM8270.01 YM9571.17	UPF0507 protein YML002W	737
P0CF33	YL017_YEAST	YLL017W L1305	Putative truncated guanine nucleotide exchange factor YLL017W	103
P0CI66	YAN2_YEAST	YAR062W	Putative uncharacterized protein YAR062W	198
P0CI67	YHU3_YEAST	YHR213W	Uncharacterized protein YHR213W	198
P0CL23	YIR5_YEAST	YIL175W	Putative UPF0377 protein YIL175W	45
P0CL24	YJL2B_YEAST	YJL222W-B	Putative UPF0377 protein YJL222W-B	45
P0CL25	YIR4_YEAST	YIL174W	Putative UPF0377 protein YIL174W	75
P0CL26	YJL2A_YEAST	YJL222W-A	Putative UPF0377 protein YJL222W-A	75
P0CL32	YH052_YEAST	YHR052W-A	Putative uncharacterized protein YHR052W-A	64
P0CL33	YH054_YEAST	YHR054W-A	Putative uncharacterized protein YHR054W-A	64
P0CX16	YE076_YEAST	YEL076C-A	Putative uncharacterized protein YEL076C-A	216
P0CX17	YL464_YEAST	YLR464W	Putative uncharacterized protein YLR464W	216
P0CX88	YAN0_YEAST	YAR060C	Putative uncharacterized protein YAR060C	111
P0CX89	YH212_YEAST	YHR212C	Putative uncharacterized protein YHR212C	111
P0CX90	YAN1_YEAST	YAR061W	Uncharacterized protein YAR061W	67
P0CX91	YH21A_YEAST	YHR212W-A	Uncharacterized protein YHR212W-A	67
P0CX92	YAN9_YEAST	YAR069C	Putative uncharacterized protein YAR069C	97
P0CX93	YH21D_YEAST	YHR214C-D	Uncharacterized protein YHR214C-D	97
P0CX94	YE190_YEAST	YER190C-B	UPF0479 membrane protein YER190C-B	160
P0CX95	YE07A_YEAST	YEL077W-A	UPF0479 membrane protein YEL077W-A	160
P0CX96	YG296_YEAST	YGR296C-B	UPF0479 membrane protein YGR296C-B	160
P0CX97	YP283_YEAST	YPL283W-B	UPF0479 membrane protein YPL283W-B	160
P0CX98	YP20A_YEAST	YPR204C-A	UPF0479 membrane protein YPR204C-A	160
P0CY00	YL66A_YEAST	YLL066W-A	UPF0479 membrane protein YLL066W-A	160
P0CY01	YL67A_YEAST	YLL067W-A	UPF0479 membrane protein YLL067W-A	160
P0CY02	YL15H_YEAST	YLR154C-H smORF494 SR15	Uncharacterized protein YLR154C-H	43
P0CY03	YL15A_YEAST	YLR156C-A	Uncharacterized protein YLR156C-A	43
P0CY04	YL157_YEAST	YLR157C-C	Uncharacterized protein YLR157C-C	43
P0CY05	YL159_YEAST	YLR159C-A	Uncharacterized protein YLR159C-A	43
P25347	YCP2_YEAST	YCR001W YCR021 YCR1W	Uncharacterized protein YCR001W	104
P25350	YCP6_YEAST	YCR006C YCR044 YCR6C	Uncharacterized protein YCR006C	157
P25352	YCR5_YEAST	YCR025C YCR244 YCR25C	Uncharacterized protein YCR025C	136
P25561	YCC1_YEAST	YCL021W YCL21W	Putative uncharacterized protein YCL021W	117
P25562	YCC2_YEAST	YCL022C YCL22C	Putative uncharacterized protein YCL022C	171
P25563	YCC3_YEAST	YCL023C YCL23C	Putative uncharacterized protein YCL023C	115
P25571	YCE1_YEAST	YCL041C YCL41C	Putative uncharacterized protein YCL041C	164
P25572	YCE2_YEAST	YCL042W YCL42W	Putative uncharacterized protein YCL042W	119
P25575	YCE6_YEAST	YCL046W YCL46W	Putative uncharacterized protein YCL046W	107
P25577	YCE9_YEAST	YCL049C YCL49C	Uncharacterized protein YCL049C	312
P25593	YCG8_YEAST	YCL068C YCL68C	Putative uncharacterized protein YCL068C	260
P25600	YCH4_YEAST	TY5A YCL074W YCL74W	Putative transposon Ty5-1 protein YCL074W	308
P25601	YCH5_YEAST	TY5B YCL075W YCL75W	Putative transposon Ty5-1 protein YCL075W	146
P25602	YCH6_YEAST	YCL076W YCL76W	Putative uncharacterized protein YCL076W	247
P25603	CWH36_YEAST	CWH36 YCL007C YCL7C	Putative uncharacterized protein CWH36	130
P25614	YCQ3_YEAST	YCR013C YCR13C	Putative uncharacterized protein YCR013C	215
P25620	YCR2_YEAST	YCR022C YCR22C	Uncharacterized protein YCR022C	114
P25629	YCT9_YEAST	YCR049C YCR49C	Putative uncharacterized protein YCR049C	148
P25630	YCU0_YEAST	YCR050C YCR50C	Uncharacterized protein YCR050C	102
P25640	YCV4_YEAST	YCR064C YCR64C	Putative uncharacterized protein YCR064C	136
P25650	YCX5_YEAST	YCR085W YCR85W	Uncharacterized protein YCR085W	117
P25652	YCX7_YEAST	YCR087W YCR87W	Putative uncharacterized protein YCR087W	171
P25657	YCY9_YEAST	YCR099C YCR99C	Uncharacterized protein YCR099C	155
P32475	YG3Z_YEAST	YGR176W	Putative uncharacterized protein YGR176W	115
P32630	UTR5_YEAST	UTR5 YEL035C SYGP-ORF27	Protein UTR5 (Unknown transcript 5 protein)	166
P32772	UGX2_YEAST	UGX2 YDL169C	Protein UGX2	223
P32859	YKD6_YEAST	YKL036C YKL249	Putative uncharacterized protein YKL036C	130
P34215	YBZ4_YEAST	YBR144C YBR1121	Uncharacterized protein YBR144C	104
P34238	YKR7_YEAST	YKL177W	Putative uncharacterized protein YKL177W	112
P34245	YKJ7_YEAST	YKL097C YKL445	Uncharacterized protein YKL097C	136
P34249	YKK2_YEAST	YKL102C YKL454	Uncharacterized protein YKL102C	101
P35725	YKG3_YEAST	YKL063C YKL327	Uncharacterized protein YKL063C	167
P35733	YKF3_YEAST	YKL053W YKL307	Putative uncharacterized protein YKL053W	124
P36030	YKW5_YEAST	YKL225W	Putative UPF0320 protein YKL225W	115
P36031	YKW3_YEAST	YKL223W	Putative UPF0377 protein YKL223W	110
P36042	YKU2_YEAST	YKL202W	Putative uncharacterized protein YKL202W	193
P36050	YKQ9_YEAST	YKL169C YKL633	Putative uncharacterized protein YKL169C	127
P36058	YKP3_YEAST	YKL153W YKL608	Putative uncharacterized protein YKL153W	169
P36061	YKO7_YEAST	YKL147C YKL601	Putative uncharacterized protein YKL147C	205
P36065	YKN6_YEAST	YKL136W	Putative uncharacterized protein YKL136W	132
P36067	YKN1_YEAST	YKL131W	Putative uncharacterized protein YKL131W	173
P36071	YKM3_YEAST	YKL123W	Putative uncharacterized protein YKL123W	126
P36072	YKL8_YEAST	YKL118W	Putative uncharacterized protein YKL118W	103
P36073	YKL5_YEAST	YKL115C	Putative uncharacterized protein YKL115C	130
P36074	YKL1_YEAST	YKL111C	Putative uncharacterized protein YKL111C	111
P36079	YKI3_YEAST	YKL083W	Putative uncharacterized protein YKL083W	204
P36087	YKH0_YEAST	YKL070W YKL343	Uncharacterized protein YKL070W	169
P36089	YKG6_YEAST	YKL066W YKL332	Putative uncharacterized protein YKL066W	147
P36092	YKE44_YEAST	YKL044W YKL257	Uncharacterized protein YKL044W	106
P36098	YKD1_YEAST	YKL031W YKL244	Putative uncharacterized protein YKL031W	137
P36099	YKD0_YEAST	YKL030W YKL243	Putative uncharacterized protein YKL030W	201
P36109	YKZ2_YEAST	YKR012C	Putative uncharacterized protein YKR012C	125
P36111	YKZ5_YEAST	YKR015C	Uncharacterized protein YKR015C	568
P36127	YK12_YEAST	YKR032W	Uncharacterized protein YKR032W	104
P36128	YK13_YEAST	YKR033C	Putative uncharacterized protein YKR033C	141
P36133	YK20_YEAST	YKR040C	Putative uncharacterized protein YKR040C	167
P36140	YK27_YEAST	YKR047W	Putative uncharacterized protein YKR047W	101
P36153	YK53_YEAST	YKR073C	Uncharacterized protein YKR073C	106
P37264	YCG5_YEAST	YCL065W YCL65W	Putative uncharacterized protein YCL065W	122
P38161	YBK8_YEAST	YBL108W YBL0801	Putative UPF0377 protein YBL108W	101
P38168	YBK0_YEAST	YBL100C YBL0826	Putative uncharacterized protein YBL100C	104
P38171	YBJ6_YEAST	YBL096C YBL0834	Putative uncharacterized protein YBL096C	102
P38173	YBJ4_YEAST	YBL094C YBL0836	Putative uncharacterized protein YBL094C	110
P38178	YBI3_YEAST	YBL083C YBL0719	Putative uncharacterized protein YBL083C	141
P38180	YBI1_YEAST	YBL081W YBL0722	Uncharacterized protein YBL081W	368
P38183	YBH7_YEAST	YBL077W YBL0733	Putative uncharacterized protein YBL077W	143
P38184	YBH3_YEAST	YBL073W YBL0612	Putative uncharacterized protein YBL073W	103
P38185	YBH1_YEAST	YBL071C YBL0615	Uncharacterized protein YBL071C	102
P38186	YBH0_YEAST	YBL070C YBL0616	Putative uncharacterized protein YBL070C	106
P38188	YBG5_YEAST	YBL065W YBL0502	Putative uncharacterized protein YBL065W	114
P38194	YBE4_YEAST	YBL044W YBL0404	Uncharacterized protein YBL044W	122
P38201	YBC9_YEAST	YBL029W YBL0422	Uncharacterized protein YBL029W	376
P38209	YBB2_YEAST	YBL012C YBL0314	Putative uncharacterized protein YBL012C	133
P38214	YBM2_YEAST	YBR012C YBR0205	Putative uncharacterized protein YBR012C	139
P38215	YBM3_YEAST	YBR013C YBR0209	Putative uncharacterized protein YBR013C	129
P38220	YBN7_YEAST	YBR027C YBR0311	Uncharacterized protein YBR027C	110
P38223	YBO2_YEAST	YBR032W YBR0317	Uncharacterized protein YBR032W	100
P38233	YBQ1_YEAST	YBR051W YBR0504A	Putative uncharacterized protein YBR051W	116
P38252	YBT9_YEAST	YBR089W YBR0811A	Putative uncharacterized protein YBR089W	199
P38258	YBU9_YEAST	YBR099C YBR0828	Putative uncharacterized protein YBR099C	127
P38269	YBX4_YEAST	YBR124W YBR0920B	Putative uncharacterized protein YBR124W	119
P38275	YBY4_YEAST	YBR134W YBR1010	Putative uncharacterized protein YBR134W	133
P38294	YB24_YEAST	YBR174C YBR1236	Putative uncharacterized protein YBR174C	104
P38296	YB28_YEAST	YBR178W YBR1240	Putative uncharacterized protein YBR178W	124
P38299	YB34_YEAST	YBR184W YBR1306	Uncharacterized protein YBR184W	523
P38303	YB40_YEAST	YBR190W YBR1318	Putative uncharacterized protein YBR190W	103
P38309	YB56_YEAST	YBR206W YBR1447	Putative uncharacterized protein YBR206W	107
P38311	YB59_YEAST	YBR209W YBR1451	Uncharacterized protein YBR209W	105
P38317	YB69_YEAST	YBR219C YBR1509	Uncharacterized protein YBR219C	127
P38321	YB75_YEAST	YBR225W YBR1522	Uncharacterized protein YBR225W	900
P38322	YB76_YEAST	YBR226C YBR1523	Putative uncharacterized protein YBR226C	136
P38327	YB82_YEAST	YBR232C YBR1530	Putative uncharacterized protein YBR232C	119
P38338	YB9F_YEAST	YBR259W YBR1727	Uncharacterized protein YBR259W	688
P38350	YB9U_YEAST	YBR277C YBR2014	Putative uncharacterized protein YBR277C	133
P38357	YB8F_YEAST	YBR292C YBR2040	Uncharacterized protein YBR292C	123
P38362	YB8J_YEAST	YBR300C YBR2120	Putative uncharacterized protein YBR300C	165
P38722	YHE9_YEAST	YHL049C	Uncharacterized protein YHL049C	271
P38729	YHE2_YEAST	YHL042W	Putative uncharacterized protein YHL042W	150
P38730	YHE1_YEAST	YHL041W	Uncharacterized protein YHL041W	149
P38733	YHD7_YEAST	YHL037C	Uncharacterized protein YHL037C	133
P38752	YHA5_YEAST	YHL005C	Uncharacterized protein YHL005C	130
P38775	YHK5_YEAST	YHR045W	Putative uncharacterized protein YHR045W	560
P38780	YHL4_YEAST	YHR054C	Uncharacterized protein YHR054C	354
P38799	YHN8_YEAST	YHR078W	Uncharacterized protein YHR078W	552
P38808	YHP5_YEAST	YHR095W	Putative uncharacterized protein YHR095W	164
P38831	YHS5_YEAST	YHR125W	Uncharacterized protein YHR125W	101
P38834	YHT0_YEAST	YHR130C	Uncharacterized protein YHR130C	111
P38864	YHX3_YEAST	YHR173C	Uncharacterized protein YHR173C	112
P38868	YHY0_YEAST	YHR180W	Uncharacterized protein YHR180W	163
P38898	YH17_YEAST	YHR217C	Putative uncharacterized protein YHR217C	153
P38899	YH18_YEAST	YHR218W	Uncharacterized protein YHR218W	603
P38900	YH19_YEAST	YHR219W	Putative uncharacterized protein YHR219W	624
P39532	YJU2C_YEAST	YJL202C J0323	Putative uncharacterized protein YJL202C	115
P39534	MBB1_YEAST	MBB1 YJL199C J0334	Uncharacterized protein MBB1	108
P39541	YJT5_YEAST	YJL195C J0345	Putative uncharacterized protein YJL195C	233
P39545	PAU7_YEAST	PAU7 YAR020C	Seripauperin-7	55
P39550	YAK0_YEAST	YAR030C	Putative uncharacterized protein YAR030C	113
P39559	YAM3_YEAST	YAR053W	Putative uncharacterized protein YA5053W	98
P39563	YAN4_YEAST	YAR064W	Uncharacterized protein YAR064W	99
P39564	YAN8_YEAST	YAR068W	Uncharacterized protein YAR068W	161
P39566	YAO0_YEAST	YAR070C	Putative uncharacterized protein YAR070C	99
P39703	YAA4_YEAST	YAL004W	Putative uncharacterized protein YAL004W	215
P39710	YAG6_YEAST	YAL066W	Putative uncharacterized protein YAL066W	102
P39711	YAG4_YEAST	YAL064W	Putative uncharacterized protein YAL064W	94
P39725	YAE5_YEAST	YAL045C	Putative uncharacterized protein YAL045C	102
P39728	YAD7_YEAST	YAL037W	Uncharacterized protein YAL037W	267
